lambda,r
580.4815674,643
580.6386108,696
580.7956543,719
580.9526978,821
581.1097412,855
581.2667847,743
581.4238281,860
581.5808105,729
581.737854,916
581.8948364,901
582.0518188,771
582.2088013,712
582.3657837,952
582.5227661,1002
582.6796875,834
582.8366699,951
582.9935913,946
583.1505127,838
583.3074341,919
583.4643555,965
583.6212769,909
583.7781982,923
583.9350586,981
584.09198,807
584.2488403,892
584.4057007,962
584.562561,895
584.7194214,864
584.8762817,1013
585.0330811,1022
585.1899414,1083
585.3467407,849
585.50354,962
585.6604004,1020
585.8171387,821
585.973938,977
586.1307373,854
586.2875366,1095
586.4442749,880
586.6010132,1008
586.7577515,988
586.9144897,931
587.071228,991
587.2279663,1064
587.3847046,1092
587.5413818,1070
587.6981201,1151
587.8547974,1127
588.0114746,1148
588.1681519,1244
588.3248291,1051
588.4815063,1297
588.6381226,1183
588.7947998,1020
588.951416,1092
589.1080322,1151
589.2646484,1180
589.4212646,1167
589.5778809,1058
589.734436,1182
589.8910522,1353
590.0476074,1270
590.2042236,1335
590.3607788,1243
590.517334,1135
590.6738892,1168
590.8303833,1251
590.9869385,1417
591.1434326,1311
591.2999878,1419
591.4564819,1326
591.6129761,1263
591.7694702,1324
591.9259644,1329
592.0823975,1403
592.2388916,1335
592.3953247,1149
592.5517578,1312
592.708252,1372
592.8646851,1391
593.0210571,1573
593.1774902,1402
593.3339233,1266
593.4902954,1392
593.6467285,1357
593.8031006,1422
593.9594727,1549
594.1158447,1519
594.2721558,1504
594.4285278,1506
594.5848999,1467
594.7412109,1428
594.897522,1651
595.053833,1468
595.210144,1503
595.3664551,1515
595.5227661,1552
595.6790771,1559
595.8353271,1540
595.9915771,1443
596.1478882,1471
596.3041382,1430
596.4603882,1561
596.6165771,1546
596.7728271,1529
596.9290161,1441
597.0852661,1675
597.2414551,1616
597.397644,1753
597.553833,1930
597.710022,1954
597.8662109,1911
598.0223389,2020
598.1785278,1884
598.3346558,1921
598.4907837,1911
598.6469116,1707
598.8030396,1836
598.9591675,1840
599.1152954,1704
599.2713623,1707
599.4274902,1731
599.5835571,1628
599.739624,1746
599.8956909,1638
600.0517578,1877
600.2078247,1599
600.3638306,1804
600.5198975,1725
600.6759033,1809
600.8319092,1809
600.987915,1809
601.1439209,1830
601.2999268,1882
601.4558716,1898
601.6118774,1898
601.7678223,1738
601.9237671,1759
602.0797729,1875
602.2356567,1665
602.3916016,1723
602.5475464,1843
602.7034912,1947
602.859375,1823
603.0152588,1964
603.1711426,1909
603.3270264,1953
603.4829102,1757
603.6387939,1817
603.7946777,2102
603.9505005,1948
604.1063843,2178
604.262207,1852
604.4180298,2032
